INDEX_NAME,INDEX_STRENGTH,RANK,SYMBOL,COMPANY_NAME,MARKET_CAP_CATEGORY,CURRENT_PRICE,CHANGE_1D,CHANGE_1W,CHANGE_1M,TECHNICAL_SCORE,RSI,TREND_SIGNAL,RELATIVE_STRENGTH,CAN_SLIM_SCORE,MINERVINI_SCORE,FUNDAMENTAL_SCORE,ENHANCED_FUND_SCORE,EARNINGS_QUALITY,SALES_GROWTH,FINANCIAL_STRENGTH,INSTITUTIONAL_BACKING,TRADING_VALUE,TRADING_SIGNAL,ANALYSIS_DATE
Nifty 50,61.480000000000004,72,BPCL,BHARAT PETROLEUM CORP  LT,MID_CAP,364.55,-0.14,-1.78,7.52,68.7,56.7,STRONG_BULLISH,12.45,13,12,20,62.6,70,56,58.64,59.17,2621531663.7,BUY,2025-11-21
Nifty 50,61.480000000000004,16,AXISBANK,AXIS BANK LIMITED,LARGE_CAP,1275.8,-0.73,2.75,3.11,64.7,68.5,STRONG_BULLISH,16.62,12,6,15,52.47,51.19,47,54.71,62,8139881330.1,HOLD,2025-11-21
Nifty 50,61.480000000000004,9,BHARTIARTL,BHARTI AIRTEL LIMITED,LARGE_CAP,2162.7,0.2,2.95,5.83,58.7,68,STRONG_BULLISH,9.9,9,8,15,52.75,50.65,51,54.32,59.17,14534905632.6,HOLD,2025-11-21
Nifty 50,61.480000000000004,75,ASIANPAINT,ASIAN PAINTS LIMITED,MID_CAP,2876.6,0.59,-1.03,14.85,58,75.2,STRONG_BULLISH,7.29,11,8,20,62.21,68.26,60,57.05,56.67,2462451544,HOLD,2025-11-21
Nifty 50,61.480000000000004,20,INDUSINDBK,INDUSIND BANK LIMITED,LARGE_CAP,846.55,2.07,-0.2,11.62,57.3,63.6,BULLISH,7.61,14,15,0,NA,NA,NA,NA,NA,6170361547,HOLD,2025-11-21
Nifty Bank,60.54,94,BANKBARODA,BANK OF BARODA,MID_CAP,284.15,-1.42,-0.91,5.16,65.3,56,STRONG_BULLISH,17.09,13,12,15,53.65,55.48,47,57.94,54.17,2019847434.2,BUY,2025-11-21
Nifty Bank,60.54,16,AXISBANK,AXIS BANK LIMITED,LARGE_CAP,1275.8,-0.73,2.75,3.11,64.7,68.5,STRONG_BULLISH,16.62,12,6,15,52.47,51.19,47,54.71,62,8139881330.1,HOLD,2025-11-21
Nifty Bank,60.54,55,CANBK,CANARA BANK,MID_CAP,145.77,-1.47,-0.21,14.67,62.7,68.1,STRONG_BULLISH,31.85,15,10,15,54.62,54.05,47,56.76,66,3258222654.13,HOLD,2025-11-21
Nifty Bank,60.54,20,INDUSINDBK,INDUSIND BANK LIMITED,LARGE_CAP,846.55,2.07,-0.2,11.62,57.3,63.6,BULLISH,7.61,14,15,0,NA,NA,NA,NA,NA,6170361547,HOLD,2025-11-21
Nifty Bank,60.54,130,PNB,PUNJAB NATIONAL BANK,MID_CAP,122.37,-1.2,0.13,3.99,52.7,56.2,STRONG_BULLISH,13.74,9,12,0,NA,NA,NA,NA,NA,1523609512.41,HOLD,2025-11-21
Nifty 500,58.54,16,AXISBANK,AXIS BANK LIMITED,LARGE_CAP,1275.8,-0.73,2.75,3.11,64.7,68.5,STRONG_BULLISH,16.62,12,6,15,52.47,51.19,47,54.71,62,8139881330.1,HOLD,2025-11-21
Nifty 500,58.54,9,BHARTIARTL,BHARTI AIRTEL LIMITED,LARGE_CAP,2162.7,0.2,2.95,5.83,58.7,68,STRONG_BULLISH,9.9,9,8,15,52.75,50.65,51,54.32,59.17,14534905632.6,HOLD,2025-11-21
Nifty 500,58.54,75,ASIANPAINT,ASIAN PAINTS LIMITED,MID_CAP,2876.6,0.59,-1.03,14.85,58,75.2,STRONG_BULLISH,7.29,11,8,20,62.21,68.26,60,57.05,56.67,2462451544,HOLD,2025-11-21
Nifty 500,58.54,20,INDUSINDBK,INDUSIND BANK LIMITED,LARGE_CAP,846.55,2.07,-0.2,11.62,57.3,63.6,BULLISH,7.61,14,15,0,NA,NA,NA,NA,NA,6170361547,HOLD,2025-11-21
Nifty 500,58.54,40,SUNPHARMA,SUN PHARMACEUTICAL IND L,LARGE_CAP,1779.7,0.13,1.29,5.28,54,71.7,STRONG_BULLISH,7.47,10,13,0,NA,NA,NA,NA,NA,3913363499.8,HOLD,2025-11-21
Nifty 100,57.34,16,AXISBANK,AXIS BANK LIMITED,LARGE_CAP,1275.8,-0.73,2.75,3.11,64.7,68.5,STRONG_BULLISH,16.62,12,6,15,52.47,51.19,47,54.71,62,8139881330.1,HOLD,2025-11-21
Nifty 100,57.34,9,BHARTIARTL,BHARTI AIRTEL LIMITED,LARGE_CAP,2162.7,0.2,2.95,5.83,58.7,68,STRONG_BULLISH,9.9,9,8,15,52.75,50.65,51,54.32,59.17,14534905632.6,HOLD,2025-11-21
Nifty 100,57.34,75,ASIANPAINT,ASIAN PAINTS LIMITED,MID_CAP,2876.6,0.59,-1.03,14.85,58,75.2,STRONG_BULLISH,7.29,11,8,20,62.21,68.26,60,57.05,56.67,2462451544,HOLD,2025-11-21
Nifty 100,57.34,40,SUNPHARMA,SUN PHARMACEUTICAL IND L,LARGE_CAP,1779.7,0.13,1.29,5.28,54,71.7,STRONG_BULLISH,7.47,10,13,0,NA,NA,NA,NA,NA,3913363499.8,HOLD,2025-11-21
Nifty 100,57.34,7,RELIANCE,RELIANCE INDUSTRIES LTD,LARGE_CAP,1546.6,-0.16,1.82,5.56,51.3,73.7,STRONG_BULLISH,8.27,9,10,0,NA,NA,NA,NA,NA,14897385970.3,HOLD,2025-11-21
Nifty 200,57.34,16,AXISBANK,AXIS BANK LIMITED,LARGE_CAP,1275.8,-0.73,2.75,3.11,64.7,68.5,STRONG_BULLISH,16.62,12,6,15,52.47,51.19,47,54.71,62,8139881330.1,HOLD,2025-11-21
Nifty 200,57.34,9,BHARTIARTL,BHARTI AIRTEL LIMITED,LARGE_CAP,2162.7,0.2,2.95,5.83,58.7,68,STRONG_BULLISH,9.9,9,8,15,52.75,50.65,51,54.32,59.17,14534905632.6,HOLD,2025-11-21
Nifty 200,57.34,75,ASIANPAINT,ASIAN PAINTS LIMITED,MID_CAP,2876.6,0.59,-1.03,14.85,58,75.2,STRONG_BULLISH,7.29,11,8,20,62.21,68.26,60,57.05,56.67,2462451544,HOLD,2025-11-21
Nifty 200,57.34,40,SUNPHARMA,SUN PHARMACEUTICAL IND L,LARGE_CAP,1779.7,0.13,1.29,5.28,54,71.7,STRONG_BULLISH,7.47,10,13,0,NA,NA,NA,NA,NA,3913363499.8,HOLD,2025-11-21
Nifty 200,57.34,7,RELIANCE,RELIANCE INDUSTRIES LTD,LARGE_CAP,1546.6,-0.16,1.82,5.56,51.3,73.7,STRONG_BULLISH,8.27,9,10,0,NA,NA,NA,NA,NA,14897385970.3,HOLD,2025-11-21
Nifty PSU Bank,57.22,94,BANKBARODA,BANK OF BARODA,MID_CAP,284.15,-1.42,-0.91,5.16,65.3,56,STRONG_BULLISH,17.09,13,12,15,53.65,55.48,47,57.94,54.17,2019847434.2,BUY,2025-11-21
Nifty PSU Bank,57.22,55,CANBK,CANARA BANK,MID_CAP,145.77,-1.47,-0.21,14.67,62.7,68.1,STRONG_BULLISH,31.85,15,10,15,54.62,54.05,47,56.76,66,3258222654.13,HOLD,2025-11-21
Nifty PSU Bank,57.22,133,INDIANB,INDIAN BANK,MID_CAP,851.8,-3.46,-1.92,4.73,54.7,53.8,STRONG_BULLISH,24.02,11,10,0,NA,NA,NA,NA,NA,1512001719.25,HOLD,2025-11-21
Nifty PSU Bank,57.22,130,PNB,PUNJAB NATIONAL BANK,MID_CAP,122.37,-1.2,0.13,3.99,52.7,56.2,STRONG_BULLISH,13.74,9,12,0,NA,NA,NA,NA,NA,1523609512.41,HOLD,2025-11-21
Nifty PSU Bank,57.22,23,SBIN,STATE BANK OF INDIA,LARGE_CAP,972.6,-0.91,0.49,7.13,50.7,70.3,STRONG_BULLISH,16.37,13,12,0,NA,NA,NA,NA,NA,5243409986.15,HOLD,2025-11-21
Nifty Midcap 50,54.68,258,AUROPHARMA,AUROBINDO PHARMA LTD,SMALL_CAP,1205.9,-0.15,-1.36,9.58,64,62.6,STRONG_BULLISH,11.29,11,12,20,67.41,70.43,70,59.18,66,600153652.7,HOLD,2025-11-21
Nifty Midcap 50,54.68,20,INDUSINDBK,INDUSIND BANK LIMITED,LARGE_CAP,846.55,2.07,-0.2,11.62,57.3,63.6,BULLISH,7.61,14,15,0,NA,NA,NA,NA,NA,6170361547,HOLD,2025-11-21
Nifty Midcap 50,54.68,46,TATACONSUM,TATA CONSUMER PRODUCT LTD,LARGE_CAP,1183.1,0.78,2.19,0.72,54.7,57.3,BULLISH,6.11,10,11,0,NA,NA,NA,NA,NA,3756947040.7,HOLD,2025-11-21
Nifty Midcap 50,54.68,13,M&M,MAHINDRA & MAHINDRA LTD,LARGE_CAP,3749.6,0.89,1.38,3.55,48.7,62.7,STRONG_BULLISH,1.08,4,15,0,NA,NA,NA,NA,NA,11967179242.9,WEAK_HOLD,2025-11-21
Nifty Midcap 50,54.68,36,VEDL,VEDANTA LIMITED,LARGE_CAP,496.4,-2.62,-5.51,4.36,48.7,46.5,STRONG_BULLISH,7.22,7,8,0,NA,NA,NA,NA,NA,4025093273.8,WEAK_HOLD,2025-11-21
Nifty Oil & Gas,53.88,72,BPCL,BHARAT PETROLEUM CORP  LT,MID_CAP,364.55,-0.14,-1.78,7.52,68.7,56.7,STRONG_BULLISH,12.45,13,12,20,62.6,70,56,58.64,59.17,2621531663.7,BUY,2025-11-21
Nifty Oil & Gas,53.88,7,RELIANCE,RELIANCE INDUSTRIES LTD,LARGE_CAP,1546.6,-0.16,1.82,5.56,51.3,73.7,STRONG_BULLISH,8.27,9,10,0,NA,NA,NA,NA,NA,14897385970.3,HOLD,2025-11-21
Nifty Oil & Gas,53.88,126,IOC,INDIAN OIL CORP LTD,MID_CAP,167.35,-0.8,-2.28,8.58,50.7,57.9,STRONG_BULLISH,15.63,13,10,0,NA,NA,NA,NA,NA,1548353722.23,HOLD,2025-11-21
Nifty Oil & Gas,53.88,176,MRPL,MRPL,SMALL_CAP,170.28,-2.27,-0.9,13.17,50.7,56.2,STRONG_BULLISH,30.44,15,8,0,NA,NA,NA,NA,NA,1206241506.78,HOLD,2025-11-21
Nifty Oil & Gas,53.88,136,OIL,OIL INDIA LTD,MID_CAP,425.05,-2.56,-2.7,4.54,48,47.4,BULLISH,3.02,6,12,0,NA,NA,NA,NA,NA,1497113481.4,WEAK_HOLD,2025-11-21
Nifty Private Bank,53.06,16,AXISBANK,AXIS BANK LIMITED,LARGE_CAP,1275.8,-0.73,2.75,3.11,64.7,68.5,STRONG_BULLISH,16.62,12,6,15,52.47,51.19,47,54.71,62,8139881330.1,HOLD,2025-11-21
Nifty Private Bank,53.06,20,INDUSINDBK,INDUSIND BANK LIMITED,LARGE_CAP,846.55,2.07,-0.2,11.62,57.3,63.6,BULLISH,7.61,14,15,0,NA,NA,NA,NA,NA,6170361547,HOLD,2025-11-21
Nifty Private Bank,53.06,112,FEDERALBNK,FEDERAL BANK LTD,MID_CAP,245.06,0.05,3.72,7.75,52,73.9,STRONG_BULLISH,24.42,13,9,0,NA,NA,NA,NA,NA,1757192963.06,HOLD,2025-11-21
Nifty Private Bank,53.06,4,KOTAKBANK,KOTAK MAHINDRA BANK LTD,LARGE_CAP,2087.8,-0.52,0.39,-4.97,47.3,45.4,BULLISH,3.1,7,12,0,NA,NA,NA,NA,NA,16447339237.6,WEAK_HOLD,2025-11-21
Nifty Private Bank,53.06,158,RBLBANK,RBL BANK LIMITED,SMALL_CAP,312.45,-0.38,-1.95,-3.76,44,50.5,BULLISH,9,6,10,0,NA,NA,NA,NA,NA,1340078978.3,WEAK_HOLD,2025-11-21
Nifty Auto,52.66,184,BHARATFORG,BHARAT FORGE LTD,SMALL_CAP,1410.2,-1.76,0.97,13.41,61.3,65,STRONG_BULLISH,19.85,13,10,15,54.83,55.22,53,56.82,54.17,1127932640.7,HOLD,2025-11-21
Nifty Auto,52.66,141,ASHOKLEY,ASHOK LEYLAND LTD,MID_CAP,144.69,-1.06,-2.41,6.2,56.7,54.2,BULLISH,6.43,7,12,25,71.08,74.57,82,59.41,59.17,1447511917.03,HOLD,2025-11-21
Nifty Auto,52.66,15,MARUTI,MARUTI SUZUKI INDIA LTD.,LARGE_CAP,15977,1.11,1.87,-2.56,51.3,54.9,BEARISH,3.05,5,17,0,NA,NA,NA,NA,NA,9374265295,HOLD,2025-11-21
Nifty Auto,52.66,13,M&M,MAHINDRA & MAHINDRA LTD,LARGE_CAP,3749.6,0.89,1.38,3.55,48.7,62.7,STRONG_BULLISH,1.08,4,15,0,NA,NA,NA,NA,NA,11967179242.9,WEAK_HOLD,2025-11-21
Nifty Auto,52.66,33,HEROMOTOCO,HERO MOTOCORP LIMITED,LARGE_CAP,6002.5,0.05,8.38,6.3,45.3,74,STRONG_BULLISH,7.71,9,6,0,NA,NA,NA,NA,NA,4230268520,WEAK_HOLD,2025-11-21
Nifty Pharma,52.54,258,AUROPHARMA,AUROBINDO PHARMA LTD,SMALL_CAP,1205.9,-0.15,-1.36,9.58,64,62.6,STRONG_BULLISH,11.29,11,12,20,67.41,70.43,70,59.18,66,600153652.7,HOLD,2025-11-21
Nifty Pharma,52.54,40,SUNPHARMA,SUN PHARMACEUTICAL IND L,LARGE_CAP,1779.7,0.13,1.29,5.28,54,71.7,STRONG_BULLISH,7.47,10,13,0,NA,NA,NA,NA,NA,3913363499.8,HOLD,2025-11-21
Nifty Pharma,52.54,27,LUPIN,LUPIN LIMITED,LARGE_CAP,2029.4,-0.07,-1.26,4.48,48.7,58.3,STRONG_BULLISH,0.19,5,12,0,NA,NA,NA,NA,NA,4816635648.7,WEAK_HOLD,2025-11-21
