SECTOR_NAME,SECTOR_STRENGTH,TOTAL_STOCKS,RANK,SYMBOL,COMPANY_NAME,MARKET_CAP_CATEGORY,CURRENT_PRICE,CHANGE_1D,CHANGE_1W,CHANGE_1M,TECHNICAL_SCORE,RSI,TREND_SIGNAL,RELATIVE_STRENGTH,CAN_SLIM_SCORE,MINERVINI_SCORE,FUNDAMENTAL_SCORE,ENHANCED_FUND_SCORE,EARNINGS_QUALITY,SALES_GROWTH,FINANCIAL_STRENGTH,INSTITUTIONAL_BACKING,TRADING_VALUE,TRADING_SIGNAL,ANALYSIS_DATE
Auto & Auto Ancillaries,58.94,13,165,BHARATFORG,BHARAT FORGE LTD,SMALL_CAP,1319.7,-0.39,0.19,8.46,66,63.1,BULLISH,12.28,12,12,15,54.83,55.22,53,56.82,54.17,1460802435.8,BUY,2025-11-06
Auto & Auto Ancillaries,58.94,13,104,ASHOKLEY,ASHOK LEYLAND LTD,MID_CAP,141.23,0.56,0.33,1,62,56.8,BULLISH,4.51,6,13,25,71.08,74.57,82,59.41,59.17,2478878823.03,HOLD,2025-11-06
Auto & Auto Ancillaries,58.94,13,9,M&M,MAHINDRA & MAHINDRA LTD,LARGE_CAP,3618.5,1.04,3.32,3.6,57.3,58.8,STRONG_BULLISH,4.97,8,17,0,NA,NA,NA,NA,NA,16478792759.1,HOLD,2025-11-06
Auto & Auto Ancillaries,58.94,13,467,APOLLOTYRE,APOLLO TYRES LTD,MICRO_CAP,505.8,-3.17,0.56,5.71,54.7,55.5,STRONG_BULLISH,6.64,7,12,15,53.44,54.57,51,53.68,54.17,287789276.9,HOLD,2025-11-06
Auto & Auto Ancillaries,58.94,13,699,SANDHAR,SANDHAR TECHNOLOGIES LTD,MICRO_CAP,525.6,-3.42,-0.18,11.05,54.7,54.9,BULLISH,14.58,13,10,0,NA,NA,NA,NA,NA,94163439.85,HOLD,2025-11-06
Defence & Aerospace,56.94,16,22,ASTRAL,ASTRAL LIMITED,LARGE_CAP,1566.1,6.74,6.91,10.34,76,73.5,BULLISH,10.76,18,14,20,62.97,68.04,60,59.41,59.17,9031130832.4,BUY,2025-11-06
Defence & Aerospace,56.94,16,165,BHARATFORG,BHARAT FORGE LTD,SMALL_CAP,1319.7,-0.39,0.19,8.46,66,63.1,BULLISH,12.28,12,12,15,54.83,55.22,53,56.82,54.17,1460802435.8,BUY,2025-11-06
Defence & Aerospace,56.94,16,862,SHALBY,SHALBY LIMITED,MICRO_CAP,232.53,-4.22,-3.97,-10.91,48.7,40,BULLISH,16,8,10,0,NA,NA,NA,NA,NA,35065463.89,WEAK_HOLD,2025-11-06
Defence & Aerospace,56.94,16,38,BEL,BHARAT ELECTRONICS LTD,LARGE_CAP,408.8,-1.53,-0.27,-0.37,47.3,48.7,BULLISH,8.34,4,8,15,54.37,52.39,47,56.59,69,5249985979.2,WEAK_HOLD,2025-11-06
Defence & Aerospace,56.94,16,919,QGOLDHALF,QUANTUM GOLD FUND,MICRO_CAP,100.05,0.24,0.37,0.32,46.7,52.6,BULLISH,20.65,11,10,0,NA,NA,NA,NA,NA,14158145.59,WEAK_HOLD,2025-11-06
Metals & Mining,56.12,23,341,RAMCOSYS,RAMCO SYSTEMS LTD,MICRO_CAP,639.75,5.61,3.42,26.85,64,65.5,BULLISH,47.61,20,14,0,NA,NA,NA,NA,NA,462285275.55,HOLD,2025-11-06
Metals & Mining,56.12,23,2,HINDALCO,HINDALCO  INDUSTRIES  LTD,LARGE_CAP,788.4,-5.17,-8.47,2.68,60,46.5,STRONG_BULLISH,10.89,14,10,0,NA,NA,NA,NA,NA,27201452543.05,HOLD,2025-11-06
Metals & Mining,56.12,23,84,TATACONSUM,TATA CONSUMER PRODUCT LTD,MID_CAP,1190.4,0.94,1.17,6.29,57.3,62.6,STRONG_BULLISH,6.1,10,12,0,NA,NA,NA,NA,NA,2844617394.9,HOLD,2025-11-06
Metals & Mining,56.12,23,58,VEDL,VEDANTA LIMITED,MID_CAP,504.95,-0.63,-0.39,7.01,50,60.7,STRONG_BULLISH,11.75,11,10,0,NA,NA,NA,NA,NA,3669936285.05,HOLD,2025-11-06
Metals & Mining,56.12,23,170,NATIONALUM,NATIONAL ALUMINIUM CO LTD,SMALL_CAP,230.59,-1.15,-3.15,6.23,49.3,55.1,STRONG_BULLISH,18.36,11,10,0,NA,NA,NA,NA,NA,1394106678.78,WEAK_HOLD,2025-11-06
Banking - PSU,55.839999999999996,7,5,SBIN,STATE BANK OF INDIA,LARGE_CAP,960.75,0.33,2.83,11.11,63.3,80.9,STRONG_BULLISH,14.3,18,15,0,NA,NA,NA,NA,NA,22216670805.6,HOLD,2025-11-06
Banking - PSU,55.839999999999996,7,122,BANKBARODA,BANK OF BARODA,MID_CAP,286.35,-0.61,4.99,9.36,57.3,68.5,STRONG_BULLISH,15.34,11,6,15,53.65,55.48,47,57.94,54.17,2208473659.35,HOLD,2025-11-06
Banking - PSU,55.839999999999996,7,75,CANBK,CANARA BANK,MID_CAP,139.24,-0.26,4.78,8.73,55.3,75.2,STRONG_BULLISH,22.41,13,4,15,54.62,54.05,47,56.76,66,3114696538,HOLD,2025-11-06
Banking - PSU,55.839999999999996,7,114,PNB,PUNJAB NATIONAL BANK,MID_CAP,120.46,-2.26,0.31,5.51,54,58.8,STRONG_BULLISH,10.87,11,12,0,NA,NA,NA,NA,NA,2297655998.17,HOLD,2025-11-06
Banking - PSU,55.839999999999996,7,154,INDIANB,INDIAN BANK,SMALL_CAP,865.8,-0.76,1.28,14.27,49.3,75.4,STRONG_BULLISH,27.62,15,8,0,NA,NA,NA,NA,NA,1562048612.25,WEAK_HOLD,2025-11-06
Pharma & Healthcare,55.44,15,156,BIOCON,BIOCON LIMITED.,SMALL_CAP,385.2,1.24,2.28,10.75,61.3,69.1,BULLISH,5.56,12,10,15,58.99,60.43,56,56.82,63,1551399168.65,HOLD,2025-11-06
Pharma & Healthcare,55.44,15,41,DIVISLAB,DIVI S LABORATORIES LTD,LARGE_CAP,6883.5,1.16,3.43,12.76,56,73.4,BULLISH,13.03,14,8,0,NA,NA,NA,NA,NA,4939160684.5,HOLD,2025-11-06
Pharma & Healthcare,55.44,15,148,AUROPHARMA,AUROBINDO PHARMA LTD,MID_CAP,1140.6,-0.74,3.46,4.63,55.3,59.7,BULLISH,7.4,5,6,20,67.41,70.43,70,59.18,66,1646782040.6,HOLD,2025-11-06
Pharma & Healthcare,55.44,15,227,ALKEM,ALKEM LABORATORIES LTD.,SMALL_CAP,5643.5,-0.36,2.14,2.76,53.3,62,STRONG_BULLISH,3.05,3,6,15,56.97,60.22,47,58.41,63,861846122,HOLD,2025-11-06
Pharma & Healthcare,55.44,15,149,LAURUSLABS,LAURUS LABS LIMITED,MID_CAP,979.8,-0.34,0.97,13.48,51.3,69.8,STRONG_BULLISH,10.24,13,10,0,NA,NA,NA,NA,NA,1643392980.7,HOLD,2025-11-06
Energy - Oil & Gas,54.92,17,46,BPCL,BHARAT PETROLEUM CORP  LT,LARGE_CAP,367.95,-1.34,2.89,7.62,66,70.1,STRONG_BULLISH,13.4,12,6,20,62.6,70,56,58.64,59.17,4383652002.35,BUY,2025-11-06
Energy - Oil & Gas,54.92,17,156,BIOCON,BIOCON LIMITED.,SMALL_CAP,385.2,1.24,2.28,10.75,61.3,69.1,BULLISH,5.56,12,10,15,58.99,60.43,56,56.82,63,1551399168.65,HOLD,2025-11-06
Energy - Oil & Gas,54.92,17,3,RELIANCE,RELIANCE INDUSTRIES LTD,LARGE_CAP,1496.1,1.56,0.51,8.04,50,67.3,BULLISH,4.28,6,17,0,NA,NA,NA,NA,NA,25059656533.3,HOLD,2025-11-06
Energy - Oil & Gas,54.92,17,90,MRPL,MRPL,MID_CAP,169.86,-3.44,4.48,13.79,49.3,70.7,STRONG_BULLISH,34.2,16,2,0,NA,NA,NA,NA,NA,2727446481.21,WEAK_HOLD,2025-11-06
Energy - Oil & Gas,54.92,17,69,IOC,INDIAN OIL CORP LTD,MID_CAP,168.37,-0.52,2.97,9.07,48,75.7,STRONG_BULLISH,17.44,12,4,0,NA,NA,NA,NA,NA,3321974233.2,WEAK_HOLD,2025-11-06
Finance & NBFC,54.4,20,53,CHOLAFIN,CHOLAMANDALAM IN & FIN CO,MID_CAP,1683.4,-3.58,-1.66,3.17,64.7,53.3,STRONG_BULLISH,8.94,10,12,15,54.41,50.65,51,57.47,66,3907211755.2,HOLD,2025-11-06
Finance & NBFC,54.4,20,106,BAJAJFINSV,BAJAJ FINSERV LTD.,MID_CAP,2063.2,-0.48,-2.43,1.51,58,45.4,STRONG_BULLISH,3.75,4,10,15,52.46,50.71,47,54.86,63,2426916625.1,HOLD,2025-11-06
Finance & NBFC,54.4,20,32,BAJFINANCE,BAJAJ FINANCE LIMITED,LARGE_CAP,1041.9,-1.43,-0.99,2.49,55.3,48.7,BULLISH,15.76,9,10,15,51.99,50.65,47,55.53,59.17,6034125415.4,HOLD,2025-11-06
Finance & NBFC,54.4,20,542,PRECWIRE,PRECISION WIRES INDIA LTD,MICRO_CAP,227.12,-0.88,-0.18,8.66,47.3,68,STRONG_BULLISH,27.22,13,4,0,NA,NA,NA,NA,NA,203733857.13,WEAK_HOLD,2025-11-06
Finance & NBFC,54.4,20,388,HDFCGOLD,HDFC GOLD ETF,MICRO_CAP,103.34,0.37,0.59,0.42,46.7,52.9,BULLISH,20.35,11,10,0,NA,NA,NA,NA,NA,373566390.04,WEAK_HOLD,2025-11-06
Telecom,53.72,11,7,BHARTIARTL,BHARTI AIRTEL LIMITED,LARGE_CAP,2094.9,-0.87,1.38,8.6,65.3,64.8,STRONG_BULLISH,7.04,10,12,15,52.75,50.65,51,54.32,59.17,20076041845.4,BUY,2025-11-06
Telecom,53.72,11,84,TATACONSUM,TATA CONSUMER PRODUCT LTD,MID_CAP,1190.4,0.94,1.17,6.29,57.3,62.6,STRONG_BULLISH,6.1,10,12,0,NA,NA,NA,NA,NA,2844617394.9,HOLD,2025-11-06
Telecom,53.72,11,3,RELIANCE,RELIANCE INDUSTRIES LTD,LARGE_CAP,1496.1,1.56,0.51,8.04,50,67.3,BULLISH,4.28,6,17,0,NA,NA,NA,NA,NA,25059656533.3,HOLD,2025-11-06
Telecom,53.72,11,344,TATACOMM,TATA COMMUNICATIONS LTD,MICRO_CAP,1842,-3.33,-3.75,10.8,49.3,51.4,STRONG_BULLISH,10.36,13,10,0,NA,NA,NA,NA,NA,455811448.6,WEAK_HOLD,2025-11-06
Telecom,53.72,11,50,TATASTEEL,TATA STEEL LIMITED,LARGE_CAP,177.27,-1.13,-3.84,3.41,46.7,53.4,STRONG_BULLISH,7.88,5,10,0,NA,NA,NA,NA,NA,4208479735.84,WEAK_HOLD,2025-11-06
FMCG & Consumer Goods,53.2,18,31,BRITANNIA,BRITANNIA INDUSTRIES LTD,LARGE_CAP,6013.5,2.05,2.63,2.15,62.7,56.2,BEARISH,3.88,8,16,15,52.36,51.96,47,54.77,59.17,6297834246.5,HOLD,2025-11-06
FMCG & Consumer Goods,53.2,18,84,TATACONSUM,TATA CONSUMER PRODUCT LTD,MID_CAP,1190.4,0.94,1.17,6.29,57.3,62.6,STRONG_BULLISH,6.1,10,12,0,NA,NA,NA,NA,NA,2844617394.9,HOLD,2025-11-06
FMCG & Consumer Goods,53.2,18,212,RADICO,RADICO KHAITAN LTD,SMALL_CAP,3185.9,-0.43,1.31,6.29,54,59.9,STRONG_BULLISH,10.84,11,12,0,NA,NA,NA,NA,NA,1022657753.9,HOLD,2025-11-06
FMCG & Consumer Goods,53.2,18,129,DABUR,DABUR INDIA LTD,MID_CAP,523.7,1.29,4.42,6.39,46.7,59.8,BULLISH,-3.71,4,10,15,51.29,50.22,47,54.77,56.67,2035533040.4,WEAK_HOLD,2025-11-06
FMCG & Consumer Goods,53.2,18,162,NESTLEIND,NESTLE INDIA LIMITED,SMALL_CAP,1266.1,0.09,-1.08,7.59,45.3,52.7,BULLISH,4.77,5,15,0,NA,NA,NA,NA,NA,1487625717.8,WEAK_HOLD,2025-11-06
Infrastructure,51.6,20,639,ARISINFRA,ARISINFRA SOLUTIONS LTD,MICRO_CAP,169.49,2.47,3.3,7.95,58.7,56.6,NEUTRAL,18.53,13,11,15,56.91,51.96,67,56.36,54,130482713.71,HOLD,2025-11-06
Infrastructure,51.6,20,152,ABB,ABB INDIA LIMITED,SMALL_CAP,5228,-0.31,-0.97,0.16,54,50.5,BULLISH,0.48,3,10,20,61.29,55.43,73,59.32,60,1588966647,HOLD,2025-11-06
Infrastructure,51.6,20,159,BHEL,BHEL,SMALL_CAP,260.05,-2.69,-0.47,6.2,53.3,66.5,BULLISH,16.25,11,4,15,53.94,54.13,47,55.45,63,1527999628.7,HOLD,2025-11-06
Infrastructure,51.6,20,210,ADANIENSOL,ADANI ENERGY SOLUTION LTD,SMALL_CAP,968.15,-1.8,0.26,5.35,48.7,59.7,STRONG_BULLISH,15.87,11,8,0,10,10,10,10,10,1036816536.1,WEAK_HOLD,2025-11-06
Infrastructure,51.6,20,52,ADANIPORTS,ADANI PORT & SEZ LTD,MID_CAP,1436.8,-0.53,-1.45,2.67,43.3,51.5,BULLISH,3.23,3,12,0,10,10,10,10,10,3982168706.1,WEAK_HOLD,2025-11-06
Energy - Power,51.04,18,383,BORORENEW,BOROSIL RENEWABLES LTD,MICRO_CAP,664.85,0.29,1.78,10.08,73.3,58.3,STRONG_BULLISH,15.9,13,13,20,63.2,57.38,81,59.5,54,389640314.75,BUY,2025-11-06
Energy - Power,51.04,18,150,CGPOWER,CG POWER AND IND SOL LTD,MID_CAP,732.7,-1.99,-0.27,-2.05,47.3,45.9,BULLISH,7.07,4,10,15,55.37,53.04,51,57.5,66,1639298542.05,WEAK_HOLD,2025-11-06
